Title,Section,Template,Type,Priority,Assigned To,Estimate,AI Automated Test,Automation Type,Is Automated,Automation Candidate,Add Labels,?References,Preconditions,BDD Scenarios
"shouldThrowException_whenCategoryNotFound","Inventario / Unitarias","Behaviour Driven Development (BDD)","Functional","Medium","","2min","None","","No","Yes","","","Mockito: supplyCategoryRepository.findById(categoryId) -> Optional.empty()","Given: supplyCategoryRepository.findById(categoryId) -> Optional.empty(); When: Crear supply con categoría inexistente.; Then: Lanza StorageLocationNotFoundException o retorno 404."
"shouldCreateSupplyVariant_whenSupplyAndUnitExist","Inventario / Unitarias","Behaviour Driven Development (BDD)","Functional","High","","3min","None","","No","Yes","","","Mockito: supplyRepository.findById -> present; unitRepository.findById -> present; variantRepository.existsByCombination -> false","Given: supply y unidad existen; variantRepository.existsByCombination -> false; When: Crear variant válida (supply + unit + quantity).; Then: Variant creada y stock inicial en 0 para Bodega y Cocina."
"shouldThrowException_whenVariantCombinationIsDuplicated","Inventario / Unitarias","Behaviour Driven Development (BDD)","Functional","High","","2min","None","","No","Yes","","","Mockito: variantRepository.existsByCombination(...) -> true","Given: variantRepository.existsByCombination(...) -> true; When: Intentar crear variant duplicada.; Then: Lanza SupplyVariantAlreadyExistsException o retorno 409."
"shouldInitializeStockToZero_whenVariantIsCreated","Inventario / Persistencia","Behaviour Driven Development (BDD)","Functional","Medium","","1min","None","","No","Yes","","","Variant creada correctamente; stock repositories disponibles","Given: variant creada correctamente y repositorios de stock disponibles; When: Crear variant.; Then: Se crean registros de InventoryStock en Bodega y Cocina con currentQuantity = 0."
"shouldDeductBodegaAndAddCocina_whenTransferIsValid","Inventario / Unitarias","Behaviour Driven Development (BDD)","Functional","High","","3min","None","","No","Yes","","","Mockito: stockRepository.findByVariantAndLocation(bodega) -> has enough qty; cocina stock exists","Given: stock suficiente en Bodega y stock en Cocina existe; When: Ejecutar transferencia válida de cantidad X de Bodega a Cocina.; Then: Stock en Bodega decrementado X; stock en Cocina incrementado X; movimiento de tipo TRANSFER registrado."
"shouldRegisterTransferMovement_whenTransferIsValid","Inventario / Unitarias","Behaviour Driven Development (BDD)","Functional","Medium","","2min","None","","No","Yes","","","Igual que U-I-07","Given: condiciones iguales a U-I-07; When: Ejecutar transferencia válida.; Then: Se persiste InventoryMovement con tipo TRANSFER, fromLocation=Bodega, toLocation=Cocina y cantidades correctas."
"shouldThrowInsufficientStockException_whenBodegaHasNotEnoughStock","Inventario / Unitarias","Behaviour Driven Development (BDD)","Functional","High","","2min","None","","No","Yes","","","Mockito: stockRepository.findByVariantAndLocation(bodega) -> quantity < requested","Given: stock en Bodega menor que la solicitada; When: Intentar transferir más cantidad de la disponible.; Then: Lanza InsufficientStockException y no se modifica stock ni se registra movimiento."
"shouldAddStockToBodega_whenPurchaseIsRegistered","Inventario / Unitarias","Behaviour Driven Development (BDD)","Functional","High","","3min","None","","No","Yes","","","Mockito: purchase data válido; stockRepository.findByVariantAndLocation(Bodega) puede existir o no","Given: datos de purchase válidos y repositorio de stock para Bodega; When: Registrar compra que entra a Bodega.; Then: Se incrementa currentQuantity en InventoryStock de Bodega, si no existía se crea el registro con la cantidad."
"shouldRegisterEntryMovement_whenPurchaseIsRegistered","Inventario / Unitarias","Behaviour Driven Development (BDD)","Functional","Medium","","2min","None","","No","Yes","","","Igual que DB-I-06","Given: condiciones iguales a DB-I-06; When: Registrar compra.; Then: Se crea InventoryMovement con tipo ENTRY, toLocation=Bodega y referencia a la purchase order."
"shouldPersistOrder_whenSaved","Pedidos / Persistencia","Behaviour Driven Development (BDD)","Functional","High","","5min","None","","No","Yes","","","Base de datos de test con migraciones aplicadas (Flyway)","Given: BD de pruebas con migraciones aplicadas; When: Persistir una orden completa mediante repository.save(order).; Then: La orden está presente en BD con todos sus campos y IDs generados."
"shouldPersistOrderTableRelation_whenSaved","Pedidos / Persistencia","Behaviour Driven Development (BDD)","Functional","High","","3min","None","","No","Yes","","","Migraciones aplicadas; tablas existentes","Given: migraciones aplicadas y tablas existentes; When: Guardar orden con referencia a mesa.; Then: FK order.table_id apunta al registro de Table correcto."
"shouldPersistOrderDetails_whenSaved","Pedidos / Persistencia","Behaviour Driven Development (BDD)","Functional","Medium","","3min","None","","No","Yes","","","Migraciones aplicadas","Given: migraciones aplicadas; When: Guardar orden con varios OrderDetail.; Then: Los OrderDetail se persisten con FK a la orden."
"shouldSetTableStatusToOccupied_whenOrderIsSaved","Pedidos / Persistencia","Behaviour Driven Development (BDD)","Functional","High","","2min","None","","No","Yes","","","Migraciones aplicadas","Given: migraciones aplicadas; When: Crear y persistir orden.; Then: El estado de la mesa en BD cambia a OCCUPIED."
"shouldCreateOrderWithQueueStatus_whenSaved","Pedidos / Persistencia","Behaviour Driven Development (BDD)","Functional","Medium","","1min","None","","No","Yes","","","Migraciones aplicadas","Given: migraciones aplicadas; When: Crear orden sin estado explícito.; Then: Orden persiste con estado QUEUE por defecto."
"shouldPersistSupply_whenSaved","Inventario / Persistencia","Behaviour Driven Development (BDD)","Functional","High","","3min","None","","No","Yes","","","BD de test con migraciones","Given: BD de test con migraciones; When: Persistir SupplyEntity.; Then: Registro creado en tabla supplies."
"shouldPersistSupplyCategoryRelation_whenSaved","Inventario / Persistencia","Behaviour Driven Development (BDD)","Functional","Medium","","2min","None","","No","Yes","","","Category entity existente","Given: category existente; When: Guardar supply con FK a categoría.; Then: FK persistida y relación válida."
"shouldRejectDuplicateSupplyName_whenConstraintViolated","Inventario / Persistencia","Behaviour Driven Development (BDD)","Functional","High","","2min","None","","No","Yes","","","Unique constraint definida en BD","Given: constraint UNIQUE en BD; When: Intentar insertar supply con nombre duplicado.; Then: Violación de constraint UNIQUE y excepción lanzada por JPA."
"shouldPersistSupplyVariantSupplyRelation_whenSaved","Inventario / Persistencia","Behaviour Driven Development (BDD)","Functional","Medium","","2min","None","","No","Yes","","","Variant y supply entities presentes","Given: variant y supply presentes; When: Persistir variant con referencia a supply.; Then: FK en variant apunta al supply correcto."
"shouldPersistSupplyVariantUnitRelation_whenSaved","Inventario / Persistencia","Behaviour Driven Development (BDD)","Functional","Medium","","2min","None","","No","Yes","","","UnitOfMeasure existente","Given: unidad de medida existente; When: Guardar variant con FK a unidad.; Then: FK persistida correctamente."
"shouldIncreaseBodegaStock_afterPurchase","Inventario / Persistencia","Behaviour Driven Development (BDD)","Functional","High","","4min","None","","No","Yes","","","Migraciones aplicadas; variant existente","Given: migraciones aplicadas y variant existente; When: Registrar purchase que añade X unidades.; Then: InventoryStock de Bodega incrementado en X."
"shouldCreateEntryMovement_afterPurchase","Inventario / Persistencia","Behaviour Driven Development (BDD)","Functional","Medium","","2min","None","","No","Yes","","","Igual que DB-I-06","Given: condiciones iguales a DB-I-06; When: Registrar compra.; Then: InventoryMovement de tipo ENTRY creado con toLocation=Bodega."
"shouldDecreaseBodegaStock_afterTransfer","Inventario / Persistencia","Behaviour Driven Development (BDD)","Functional","High","","3min","None","","No","Yes","","","Stock inicial suficiente en Bodega","Given: stock inicial suficiente en Bodega; When: Ejecutar transferencia de Bodega a Cocina.; Then: currentQuantity en Bodega disminuye en la cantidad transferida."
"shouldIncreaseCocinaStock_afterTransfer","Inventario / Persistencia","Behaviour Driven Development (BDD)","Functional","Medium","","3min","None","","No","Yes","","","Cocina stock existente o no","Given: Cocina stock existente o no; When: Ejecutar transferencia.; Then: currentQuantity en Cocina incrementado en la cantidad transferida."
"shouldCreateTransferMovement_afterTransfer","Inventario / Persistencia","Behaviour Driven Development (BDD)","Functional","Medium","","2min","None","","No","Yes","","","Igual que DB-I-08","Given: condiciones iguales a DB-I-08; When: Ejecutar transferencia.; Then: InventoryMovement de tipo TRANSFER creado con fromLocation=Bodega y toLocation=Cocina."
"shouldReturn201_whenOrderIsCreatedSuccessfully","Pedidos / Endpoint","Behaviour Driven Development (BDD)","Acceptance","High","","3min","None","","No","Yes","","","Context web levantado; GlobalExceptionHandler activo; mocks/integraciones según sea necesario; inventario disponible","Given: contexto web levantado y mocks/integraciones según necesario; inventario disponible; When: POST /api/v1/orders con payload válido.; Then: 201 Created y body con id de orden."
"shouldReturn404_whenTableNotFound","Pedidos / Endpoint","Behaviour Driven Development (BDD)","Functional","High","","2min","None","","No","Yes","","","tableRepository devuelve empty o mock configurado","Given: tableRepository devuelve empty o mock configurado; When: POST /api/v1/orders con tableId inexistente.; Then: 404 Not Found y mensaje de error consistente."
"shouldReturn409_whenTableIsOccupied","Pedidos / Endpoint","Behaviour Driven Development (BDD)","Functional","High","","2min","None","","No","Yes","","","table en estado OCCUPIED","Given: mesa en estado OCCUPIED; When: POST /api/v1/orders con mesa ocupada.; Then: 409 Conflict."
"shouldReturn400_whenProductNotFound","Pedidos / Endpoint","Behaviour Driven Development (BDD)","Functional","Medium","","2min","None","","No","Yes","","","productRepository.findById -> empty","Given: productRepository.findById -> empty; When: POST /api/v1/orders con productId inexistente.; Then: 400 Bad Request (o 404 según manejo, documentar el comportamiento esperado)."
"shouldReturn409_whenInsufficientStock","Pedidos / Endpoint","Behaviour Driven Development (BDD)","Functional","High","","2min","None","","No","Yes","","","Mock de InventoryStockUseCase.isAvailable(...) -> false","Given: Mock de InventoryStockUseCase.isAvailable(...) -> false; When: POST /api/v1/orders con producto sin stock suficiente.; Then: 409 Conflict y mensaje de insuficiente stock."
"shouldReturn201_whenSupplyIsCreatedSuccessfully","Inventario / Endpoint","Behaviour Driven Development (BDD)","Acceptance","High","","3min","None","","No","Yes","","","Category exists","Given: category exists; When: POST /api/v1/supplies con payload válido.; Then: 201 Created y supply persisted."
"shouldReturn409_whenSupplyNameIsDuplicated","Inventario / Endpoint","Behaviour Driven Development (BDD)","Functional","High","","2min","None","","No","Yes","","","supplyRepository.existsByName -> true","Given: supplyRepository.existsByName -> true; When: POST con nombre duplicado.; Then: 409 Conflict."
"shouldReturn404_whenCategoryNotFound","Inventario / Endpoint","Behaviour Driven Development (BDD)","Functional","Medium","","2min","None","","No","Yes","","","categoryRepository.findById -> empty","Given: categoryRepository.findById -> empty; When: POST con categoryId inexistente.; Then: 404 Not Found."
"shouldReturn201_whenVariantIsCreatedSuccessfully","Inventario / Endpoint","Behaviour Driven Development (BDD)","Acceptance","High","","3min","None","","No","Yes","","","supply y unit existen","Given: supply y unit existen; When: POST /api/v1/supplies/variants con payload válido.; Then: 201 Created y variant persisted con stock inicial 0."
"shouldReturn409_whenVariantCombinationIsDuplicated","Inventario / Endpoint","Behaviour Driven Development (BDD)","Functional","High","","2min","None","","No","Yes","","","variantRepository.existsByCombination -> true","Given: variantRepository.existsByCombination -> true; When: POST con combinación duplicada.; Then: 409 Conflict."
"shouldReturn200_withVariantsAndStock","Inventario / Endpoint","Behaviour Driven Development (BDD)","Functional","Medium","","2min","None","","No","Yes","","","Variants y stock existentes en BD o mock configurado","Given: Variants y stock existentes en BD o mock configurado; When: GET /api/v1/supplies/variants.; Then: 200 OK y body con lista de variants incluyendo stock en Bodega y Cocina."
"shouldReturn200_whenTransferIsSuccessful","Inventario / Endpoint","Behaviour Driven Development (BDD)","Functional","High","","3min","None","","No","Yes","","","Stock suficiente en Bodega","Given: Stock suficiente en Bodega; When: POST /api/v1/inventory/transfer con payload válido.; Then: 200 OK y stock actualizado en ambas ubicaciones."
"shouldReturn400_whenInsufficientStockInBodega","Inventario / Endpoint","Behaviour Driven Development (BDD)","Functional","High","","2min","None","","No","Yes","","","Stock insuficiente en Bodega","Given: Stock insuficiente en Bodega; When: POST /api/v1/inventory/transfer solicitando más que el stock disponible.; Then: 400 Bad Request o 409 según especificación; documentar el comportamiento esperado."

